created_at,entry_id,field1,field2,field3,field4,field5
2017-06-30 10:43:28 UTC,139,3.9,7.25,339.04,24.3125,1005.775
2017-06-30 10:43:48 UTC,140,3.9,8.25,339.68,24.3125,1005.762
2017-06-30 10:44:08 UTC,141,1.68,5.299999,335.2,24.3125,1005.742
2017-06-30 10:44:28 UTC,142,1.68,5.299999,335.52,24.3125,1005.77
2017-06-30 10:44:48 UTC,143,1.68,5.299999,339.68,24.3125,1005.745
2017-06-30 10:45:08 UTC,144,3.9,8.25,337.76,24.25,1005.71
2017-06-30 10:45:28 UTC,145,3.9,8.25,340.0,24.25,1005.692
2017-06-30 10:45:48 UTC,146,3.9,8.25,337.12,24.3125,1005.672
2017-06-30 10:46:08 UTC,147,2.68,5.299999,336.48,24.25,1005.682
2017-06-30 10:46:28 UTC,148,3.9,8.25,333.92,24.3125,1005.672
2017-06-30 10:46:49 UTC,149,3.9,8.25,335.2,24.25,1005.675
2017-06-30 10:47:09 UTC,150,3.9,8.25,335.2,24.25,1005.678
2017-06-30 10:47:29 UTC,151,2.68,6.299999,340.96,24.3125,1005.662
2017-06-30 10:47:49 UTC,152,3.9,8.25,337.76,24.3125,1005.69
2017-06-30 10:48:09 UTC,153,2.68,5.299999,335.84,24.3125,1005.662
2017-06-30 10:48:29 UTC,154,2.68,6.299999,336.48,24.3125,1005.635
2017-06-30 10:48:49 UTC,155,2.68,6.299999,340.64,24.3125,1005.64
2017-06-30 10:49:09 UTC,156,2.68,6.299999,337.12,24.3125,1005.635
2017-06-30 10:49:29 UTC,157,2.68,6.299999,342.56,24.3125,1005.635
2017-06-30 10:49:49 UTC,158,4.9,8.25,343.2,24.3125,1005.65
2017-06-30 10:50:09 UTC,159,4.9,8.25,336.48,24.3125,1005.628
2017-06-30 10:50:29 UTC,160,2.68,6.299999,340.32,24.3125,1005.643
2017-06-30 10:50:49 UTC,161,4.9,8.25,336.8,24.375,1005.593
2017-06-30 10:51:09 UTC,162,2.68,6.299999,340.96,24.375,1005.625
2017-06-30 10:51:29 UTC,163,4.9,9.25,342.72,24.4375,1005.605
2017-06-30 10:51:49 UTC,164,4.9,8.25,336.8,24.375,1005.593
2017-06-30 10:52:09 UTC,165,3.9,8.25,336.48,24.375,1005.597
2017-06-30 10:52:29 UTC,166,4.9,8.25,336.16,24.375,1005.638
2017-06-30 10:52:51 UTC,167,2.68,6.299999,334.24,24.3125,1005.612
2017-06-30 10:53:09 UTC,168,3.9,8.25,336.8,24.3125,1005.58
2017-06-30 10:53:29 UTC,169,4.9,9.25,338.72,24.25,1005.617
2017-06-30 10:53:49 UTC,170,2.68,5.299999,339.04,24.1875,1005.585
2017-06-30 10:54:10 UTC,171,3.9,8.25,340.0,24.1875,1005.628
2017-06-30 10:54:30 UTC,172,2.68,5.299999,336.8,24.1875,1005.577
2017-06-30 10:54:50 UTC,173,2.68,5.299999,333.28,24.1875,1005.593
2017-06-30 10:55:10 UTC,174,3.9,8.25,334.24,24.1875,1005.53
2017-06-30 10:55:30 UTC,175,4.9,8.25,338.4,24.25,1005.523
2017-06-30 10:55:50 UTC,176,3.9,8.25,331.36,24.3125,1005.54
2017-06-30 10:56:10 UTC,177,3.9,7.25,332.64,24.3125,1005.527
2017-06-30 10:56:30 UTC,178,3.9,7.25,336.16,24.25,1005.475
2017-06-30 10:56:50 UTC,179,1.68,5.299999,331.04,24.25,1005.49
2017-06-30 10:57:10 UTC,180,1.68,5.299999,340.0,24.25,1005.493
2017-06-30 10:57:30 UTC,181,1.68,5.299999,340.32,24.25,1005.473
2017-06-30 10:57:50 UTC,182,3.9,8.25,340.32,24.25,1005.485
2017-06-30 10:58:10 UTC,183,3.9,8.25,333.6,24.3125,1005.505
2017-06-30 10:58:30 UTC,184,2.68,6.299999,338.4,24.3125,1005.435
2017-06-30 10:58:50 UTC,185,2.68,6.299999,335.84,24.3125,1005.43
2017-06-30 10:59:10 UTC,186,2.68,6.299999,337.44,24.3125,1005.388
2017-06-30 10:59:30 UTC,187,3.9,8.25,338.08,24.25,1005.417
2017-06-30 10:59:50 UTC,188,4.9,8.25,340.32,24.25,1005.388
2017-06-30 11:00:10 UTC,189,2.68,6.299999,341.6,24.25,1005.385
2017-06-30 11:00:30 UTC,190,3.68,7.299999,343.36,24.25,1005.388
2017-06-30 11:00:50 UTC,191,2.68,6.299999,342.72,24.25,1005.358
2017-06-30 11:01:10 UTC,192,2.68,6.299999,344.32,24.25,1005.342
2017-06-30 11:01:31 UTC,193,2.68,6.299999,340.8,24.25,1005.315
2017-06-30 11:01:51 UTC,194,2.68,6.299999,343.68,24.25,1005.302
2017-06-30 11:02:11 UTC,195,4.9,9.25,342.72,24.25,1005.3
2017-06-30 11:02:31 UTC,196,4.9,9.25,344.64,24.25,1005.282
2017-06-30 11:02:51 UTC,197,2.68,6.299999,340.96,24.3125,1005.298
2017-06-30 11:03:11 UTC,198,2.68,6.299999,340.64,24.3125,1005.302
2017-06-30 11:03:31 UTC,199,2.68,6.299999,342.4,24.3125,1005.31
2017-06-30 11:03:51 UTC,200,2.68,6.299999,340.0,24.25,1005.282
2017-06-30 11:04:11 UTC,201,4.9,8.25,339.36,24.25,1005.252
2017-06-30 11:04:31 UTC,202,2.68,6.299999,342.4,24.1875,1005.242
2017-06-30 11:04:51 UTC,203,2.68,6.299999,337.76,24.1875,1005.2
2017-06-30 11:05:11 UTC,204,4.9,9.25,337.12,24.1875,1005.195
2017-06-30 11:05:31 UTC,205,2.68,6.299999,341.92,24.1875,1005.203
2017-06-30 11:05:51 UTC,206,4.9,9.25,337.44,24.25,1005.2
2017-06-30 11:06:11 UTC,207,2.68,6.299999,335.52,24.1875,1005.072
2017-06-30 11:06:31 UTC,208,3.9,8.25,338.08,24.1875,1005.118
2017-06-30 11:06:51 UTC,209,3.9,8.25,338.08,24.25,1005.105
2017-06-30 11:07:11 UTC,210,2.68,6.299999,335.2,24.1875,1005.105
2017-06-30 11:07:31 UTC,211,2.68,6.299999,333.92,24.1875,1005.143
2017-06-30 11:07:51 UTC,212,3.9,8.25,338.08,24.1875,1005.143
2017-06-30 11:08:11 UTC,213,3.9,8.25,338.08,24.1875,1005.13
2017-06-30 11:08:31 UTC,214,3.9,7.25,340.32,24.1875,1005.113
2017-06-30 11:08:52 UTC,215,3.9,8.25,332.64,24.125,1005.09
2017-06-30 11:09:12 UTC,216,2.68,6.299999,339.36,24.1875,1005.095
